Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20180331,CDF    ,201804     ,091151,247.5,2,-,-, 
20180331,CDF    ,201804     ,091151,247.5,2,-,-, 
20180331,CDF    ,201804     ,091151,247.5,4,-,-, 
20180331,CDF    ,201804     ,091152,247.5,2,-,-, 
20180331,CDF    ,201804     ,091203,247.5,2,-,-, 
20180331,CDF    ,201804     ,091203,247.5,2,-,-, 
20180331,CDF    ,201804     ,091203,247.5,4,-,-, 
20180331,CDF    ,201804     ,091212,247.5,2,-,-, 
20180331,CDF    ,201804     ,091443,247.5,2,-,-, 
20180331,CDF    ,201804     ,091443,247.5,4,-,-, 
20180331,CDF    ,201804     ,091615,247.5,4,-,-, 
20180331,CDF    ,201804     ,091654,247.5,4,-,-, 
20180331,CDF    ,201804     ,091713,247.5,4,-,-, 
20180331,CDF    ,201804     ,091714,247.5,4,-,-, 
20180331,CDF    ,201804     ,091801,247.5,4,-,-, 
20180331,CDF    ,201804     ,091827,247,6,-,-, 
20180331,CDF    ,201804     ,092359,247,2,-,-, 
20180331,CDF    ,201804     ,092420,247,2,-,-, 
20180331,CDF    ,201804/201805,092545,-.05,12,247,246.95, 
20180331,CDF    ,201804/201805,092545,-.05,4,247,246.95, 
20180331,CDF    ,201804/201805,092545,-.05,4,247,246.95, 
20180331,CDF    ,201804/201805,092545,-.05,40,247,246.95, 
20180331,CDF    ,201804/201805,092545,-.05,20,247,246.95, 
20180331,CDF    ,201804/201805,092545,-.05,12,247,246.95, 
20180331,CDF    ,201804     ,092646,247,4,-,-, 
20180331,CDF    ,201804     ,092646,247,6,-,-, 
20180331,CDF    ,201804/201805,092702,-.05,72,247,246.95, 
20180331,CDF    ,201804     ,092715,247,6,-,-, 
20180331,CDF    ,201804/201805,092752,-.05,8,247,246.95, 
20180331,CDF    ,201804/201805,092752,-.05,12,247,246.95, 
20180331,CDF    ,201804     ,092759,247,2,-,-, 
20180331,CDF    ,201804     ,093101,247,2,-,-, 
20180331,CDF    ,201804     ,093101,247,8,-,-, 
20180331,CDF    ,201804     ,093405,247,2,-,-, 
20180331,CDF    ,201804     ,093433,247,2,-,-, 
20180331,CDF    ,201804/201805,093457,-.05,4,247,246.95, 
20180331,CDF    ,201804     ,093540,247,2,-,-, 
20180331,CDF    ,201804     ,093543,247,2,-,-, 
20180331,CDF    ,201804/201805,093715,-.05,4,247,246.95, 
20180331,CDF    ,201804/201805,093715,-.05,4,247,246.95, 
20180331,CDF    ,201804     ,093750,247.5,20,-,-, 
20180331,CDF    ,201804/201805,093801,-.05,12,247.5,247.45, 
20180331,CDF    ,201804/201805,094002,-.05,8,247.5,247.45, 
20180331,CDF    ,201804/201805,094002,-.05,4,247.5,247.45, 
20180331,CDF    ,201804/201805,094002,-.05,8,247.5,247.45, 
20180331,CDF    ,201804/201805,094005,-.05,12,247.5,247.45, 
20180331,CDF    ,201804/201805,094005,-.05,4,247.5,247.45, 
20180331,CDF    ,201804/201805,094219,-.04,20,247.5,247.46, 
20180331,CDF    ,201804/201805,094219,-.04,4,247.5,247.46, 
20180331,CDF    ,201804/201805,094219,-.04,4,247.5,247.46, 
